route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
R22,94914111448429,11448429, ,912085,0, , 
R16,94841911448541,11448541, ,902626,0, , 
R16,94842211449050,11449050, ,902679,0, , 
S4,94822111449924,11449924, ,902716,0, , 
R22,94928811446984,11446984, ,912068,0, , 
R3,94811911461805,11461805, ,900940,0, , 
RE_3,94808911461990,11461990, ,900951,0, , 
R22,94919511447809,11447809, ,902030,0, , 
R16,94833711441942,11441942, ,902666,0, , 
R3,94812111461649,11461649, ,910915,0, , 
R17,94825711437040,11437040, ,902107,0, , 
RE_1,94890211446942,11446942, ,902016,0, , 
R17,94864811447431,11447431, ,902134,0, , 
S4,94826411442923,11442923, ,902740,0, , 
S4,94832011446399,11446399, ,902718,0, , 
R16,94842211449051,11449051, ,902679,0, , 
R22,94930011440855,11440855, ,902074,0, , 
R38,94687011421524,11421524, ,20403,0, , 
R3,94813311461470,11461470, ,901919,0, , 
RE_3,94814011462041,11462041, ,900970,0, , 
S4,94850711438175,11438175, ,902762,0, , 
R3,94812511461583,11461583, ,912941,0, , 
R3,94814111461498,11461498, ,912944,0, , 
S4,94870811442133,11442133, ,902724,0, , 
S1,94721211502822,11502822, ,23331,0, , 
S1,94721311502829,11502829, ,23332,0, , 
S8,94666811497094,11497094, ,10833,0, , 
RE_1,94912411448534,11448534, ,902024,0, , 
R4,94658611496095,11496095, ,10739,0, , 
S11,94755611507444,11507444, ,25237,0, , 
S13,94701811500987,11500987, ,23115,0, , 
S13,94701911500992,11500992, ,23116,0, , 
S10,94754211507325,11507325, ,25192,0, , 
S5,94695911500204,11500204, ,23051,0, , 
R14,94659411496188,11496188, ,10750,0, , 
R14,94660611496338,11496338, ,10764,0, , 
S1,94716811502492,11502492, ,23287,0, , 
R14,94663311496718,11496718, ,10792,0, , 
S2,94676211498000,11498000, ,20238,0, , 
R4,94656711495834,11495834, ,10720,0, , 
S1,94722611503002,11503002, ,23345,0, , 
R2,94735311504729,11504729, ,24800,0, , 
S13,94705111501407,11501407, ,23148,0, , 
RE_2,94665011496882,11496882, ,10810,0, , 
S1,94713111502232,11502232, ,23248,0, , 
S9,94727711503767,11503767, ,24150,0, , 
RE_13,94589311487953,11487953, ,3967,0, , 
R34,94643711494371,11494371, ,10578,0, , 
XP2,94739311505329,11505329, ,24940,0, , 
S1,94668511497324,11497324, ,10855,0, , 
R16,94875411448525,11448525, ,902649,0, , 
R8,94682011498484,11498484, ,20337,0, , 
XP2,94739611505374,11505374, ,24943,0, , 
S4,94868411441061,11441061, ,902780,0, , 
R14,94661911496528,11496528, ,10778,0, , 
S1,94721711502874,11502874, ,23336,0, , 
S13,94702111501017,11501017, ,23118,0, , 
R4,94658111496030,11496030, ,10734,0, , 
R28,94741111505599,11505599, ,24958,0, , 
XP2,94741211505614,11505614, ,24959,0, , 
XP2,94741311505629,11505629, ,24960,0, , 
R22,94930011440856,11440856, ,902074,0, , 
S50,94770011509171,11509171, ,25582,0, , 
R4,94657911496000,11496000, ,10732,0, , 
R4,94658411496070,11496070, ,10737,0, , 
R5,94625111492256,11492256, ,5341,0, , 
R5,94625211492266,11492266, ,5342,0, , 
R5,94626211492386,11492386, ,5352,0, , 
S2,94673711497874,11497874, ,20213,0, , 
S2,94674111497895,11497895, ,20217,0, , 
S1,94716911502499,11502499, ,23288,0, , 
S5,94698111500504,11500504, ,23073,0, , 
S40,94763111508211,11508211, ,25460,0, , 
S40,94763311508231,11508231, ,25464,0, , 
S9,94723211503092,11503092, ,24105,0, , 
R21,94760611507933,11507933, ,25347,0, , 
S5,94699711500684,11500684, ,23089,0, , 
S9,94725211503392,11503392, ,24125,0, , 
S5,94699811500699,11500699, ,23090,0, , 
R38,94686811499089,11499089, ,20401,0, , 
S10,94754011507295,11507295, ,25190,0, , 
RE_2,94665411496914,11496914, ,10816,0, , 
S8,94665511496934,11496934, ,10820,0, , 
R38,94687111499112,11499112, ,20404,0, , 
S12,94708211501862,11501862, ,23193,0, , 
R38,94687211499127,11499127, ,20405,0, , 
RE_10,94765111508451,11508451, ,25518,0, , 
S5,94700011500724,11500724, ,23092,0, , 
R1,94595911488813,11488813, ,4909,0, , 
