route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S3,128433012865220,12865220, ,900825,0, , 
XP1,128451912865343,12865343, ,900337,0, , 
S2,128435212859247,12859247, ,932654,0, , 
R22,128467412862514,12862514, ,911043,0, , 
R16,128478712865515,12865515, ,900656,0, , 
S3,128693612866881,12866881, ,900887,0, , 
XP1,128695012866891,12866891, ,900362,0, , 
RE3,128695112866892,12866892, ,900960,0, , 
S3,128465712865430,12865430, ,900822,0, , 
R3,128412912859043,12859043, ,912941,0, , 
S4,128470712865463,12865463, ,900789,0, , 
R27,128475212865490,12865490, ,900222,0, , 
R22,128480312865526,12865526, ,900054,0, , 
R3,128420212859107,12859107, ,902980,0, , 
R17,128463512859505,12859505, ,902134,0, , 
R3,128439912862278,12862278, ,911914,0, , 
S4,128431412865207,12865207, ,900717,0, , 
S50,128422712865148,12865148, ,928346,0, , 
RE1,128427212865179,12865179, ,900067,0, , 
R16,128436712862252,12862252, ,901617,0, , 
XP1,128469212865453,12865453, ,900336,0, , 
R22,128694012861533,12861533, ,912047,0, , 
R17,128418212862109,12862109, ,901112,0, , 
S4,128468412865447,12865447, ,900775,0, , 
XP1,128476012865497,12865497, ,900335,0, , 
R16,128481812862625,12862625, ,911689,0, , 
R27,128480812865529,12865529, ,900244,0, , 
S3,128431912865211,12865211, ,900811,0, , 
R3,128445912862328,12862328, ,901950,0, , 
XP1,128452312865347,12865347, ,900387,0, , 
XP1,128466612865436,12865436, ,900349,0, , 
R22,128428712865188,12865188, ,910091,0, , 
S4,128441412865275,12865275, ,900743,0, , 
R27,128464112865417,12865417, ,900249,0, , 
R16,128469912862534,12862534, ,901650,0, , 
S3,128479812865522,12865522, ,900852,0, , 
R3,128407512862025,12862025, ,901964,0, , 
R16,128408712865060,12865060, ,900615,0, , 
R22,128440312865266,12865266, ,900013,0, , 
R22,128444312865296,12865296, ,900055,0, , 
S3,128444912865302,12865302, ,900847,0, , 
S2,128416412859076,12859076, ,932638,0, , 
R17,128439112862270,12862270, ,901182,0, , 
R3,128440812865270,12865270, ,910986,0, , 
R27,128431012862206,12862206, ,901211,0, , 
S4,128456412859444,12859444, ,902784,0, , 
R22,128441912862294,12862294, ,911069,0, , 
S3,128448812865322,12865322, ,900874,0, , 
S2,128433212859228,12859228, ,932680,0, , 
S3,128454512865357,12865357, ,900841,0, , 
S3,128476612865502,12865502, ,900883,0, , 
S4,128456612859446,12859446, ,902770,0, , 
RE7,128459012859466,12859466, ,902169,0, , 
R28,128453312865352,12865352, ,910332,0, , 
S3,128445412865306,12865306, ,900858,0, , 
R22,128450012865327,12865327, ,910045,0, , 
S3,128477012865504,12865504, ,900836,0, , 
XP1,128416012865107,12865107, ,900339,0, , 
RE6,128565412866033,12866033, ,2601,0, , 
R16,128443312862306,12862306, ,901641,0, , 
R17,128479212865518,12865518, ,900170,0, , 
R17,128449512859379,12859379, ,902156,0, , 
RE6,128564412866027,12866027, ,2618,0, , 
R3,128399012864995,12864995, ,909901,0, , 
XP2,128427812865183,12865183, ,910374,0, , 
R22,128429012865190,12865190, ,910022,0, , 
S3,128442312865280,12865280, ,900824,0, , 
RE1,128447512865316,12865316, ,900026,0, , 
R2,128558612865990,12865990, ,22608,0, , 
R22,128473412865478,12865478, ,910010,0, , 
RE2,128553912865958,12865958, ,2203,0, , 
R3,128460812865395,12865395, ,914929,0, , 
R17,128420412865132,12865132, ,900184,0, , 
R3,128453412859416,12859416, ,912968,0, , 
R3,128446412859351,12859351, ,912976,0, , 
R17,128695412864377,12864377, ,901177,0, , 
S13,128610712860780,12860780, ,24329,0, , 
R34,128582512863399,12863399, ,10479,0, , 
S7,128588812863450,12863450, ,24719,0, , 
R11,128658512864052,12864052, ,10158,0, , 
R31,128662012864081,12864081, ,10029,0, , 
R23,128662712864087,12864087, ,10242,0, , 
R5,128665012864106,12864106, ,10512,0, , 
S5,128672712864171,12864171, ,24537,0, , 
S40,128682412864247,12864247, ,25480,0, , 
S50,128397412865005,12865005, ,25576,0, , 
R2,128512512865699,12865699, ,22618,0, , 
R8,128513112865704,12865704, ,10814,0, , 
R4,128513812865708,12865708, ,10937,0, , 
R34,128516012865719,12865719, ,10478,0, , 
R7,128517612865730,12865730, ,10721,0, , 
S8,128518012865733,12865733, ,24876,0, , 
S6,128518412865737,12865737, ,24658,0, , 
R36,128520112865748,12865748, ,10688,0, , 
R7,128520412865749,12865749, ,10722,0, , 
RE5,128521212865753,12865753, ,2537,0, , 
R4,128523512865764,12865764, ,10945,0, , 
RE2,128524012865767,12865767, ,2240,0, , 
S6,128524812865773,12865773, ,24659,0, , 
R35,128526312865779,12865779, ,10579,0, , 
S8,128527012865782,12865782, ,24856,0, , 
S50,128529312865798,12865798, ,25569,0, , 
S11,128530612865811,12865811, ,25048,0, , 
R1,128531512865818,12865818, ,10117,0, , 
S6,128532012865822,12865822, ,24657,0, , 
S13,128532712865826,12865826, ,24338,0, , 
S10,128532812865827,12865827, ,25168,0, , 
S6,128537712865857,12865857, ,24680,0, , 
RE5,128538112865858,12865858, ,2540,0, , 
S5,128538812865864,12865864, ,24559,0, , 
R4,128541212865880,12865880, ,10941,0, , 
R4,128541712865883,12865883, ,10919,0, , 
R11,128543812865894,12865894, ,10170,0, , 
S1,128544212865896,12865896, ,24162,0, , 
R4,128549412865929,12865929, ,10928,0, , 
RE6,128550112865934,12865934, ,2624,0, , 
S6,128552112865946,12865946, ,24653,0, , 
S6,128552212865947,12865947, ,24630,0, , 
R7,128553612865956,12865956, ,10735,0, , 
S5,128555412865969,12865969, ,24546,0, , 
S9,128560612866000,12866000, ,24936,0, , 
S6,128562912866017,12866017, ,24643,0, , 
S6,128563912866022,12866022, ,24652,0, , 
R37,128565012866031,12866031, ,10766,0, , 
S13,128566412866037,12866037, ,24335,0, , 
R2,128571712866080,12866080, ,22683,0, , 
S10,128575312866097,12866097, ,25176,0, , 
R11,128576112866105,12866105, ,10153,0, , 
R7,128576712866110,12866110, ,10726,0, , 
S5,128578012866119,12866119, ,24511,0, , 
R5,128581012866139,12866139, ,10540,0, , 
RE8,128583912866159,12866159, ,2814,0, , 
RE11,128584512866163,12866163, ,2156,0, , 
RE5,128584612866164,12866164, ,2533,0, , 
R1,128586312866174,12866174, ,10126,0, , 
S7,128588512866186,12866186, ,24736,0, , 
R38,128590312866195,12866195, ,10875,0, , 
S11,128591112866201,12866201, ,25049,0, , 
R37,128593612866217,12866217, ,10759,0, , 
RE11,128595112866227,12866227, ,2162,0, , 
R11,128596912866239,12866239, ,10166,0, , 
S6,128597912866246,12866246, ,24685,0, , 
RE2,128598412866249,12866249, ,2215,0, , 
S9,128599712866255,12866255, ,24944,0, , 
S7,128600912866262,12866262, ,24745,0, , 
S13,128601412866266,12866266, ,24375,0, , 
R38,128603312866277,12866277, ,10853,0, , 
S13,128605612866291,12866291, ,24315,0, , 
S11,128606112866294,12866294, ,25081,0, , 
S5,128607212866300,12866300, ,24544,0, , 
S6,128607412866302,12866302, ,24649,0, , 
R35,128608012866308,12866308, ,10567,0, , 
S8,128609512866318,12866318, ,24885,0, , 
R4,128610212866323,12866323, ,10925,0, , 
R38,128611612866331,12866331, ,10871,0, , 
S6,128612512866339,12866339, ,24674,0, , 
S13,128612712866341,12866341, ,24364,0, , 
S10,128615512866363,12866363, ,25160,0, , 
R14,128615812866365,12866365, ,25850,0, , 
S10,128620112866385,12866385, ,25156,0, , 
RE5,128621712866397,12866397, ,2548,0, , 
S5,128623812866413,12866413, ,24571,0, , 
RE2,128624512866416,12866416, ,2218,0, , 
S5,128625812866422,12866422, ,24542,0, , 
R11,128627412866430,12866430, ,10177,0, , 
R1,128636512866491,12866491, ,10120,0, , 
R5,128639212866508,12866508, ,10529,0, , 
S13,128643812866543,12866543, ,24372,0, , 
S6,128644912866549,12866549, ,24638,0, , 
R2,128645412866551,12866551, ,22666,0, , 
S13,128646912866560,12866560, ,24360,0, , 
S13,128650512866587,12866587, ,24314,0, , 
RE13,128652312866600,12866600, ,2373,0, , 
S1,128653912866608,12866608, ,24158,0, , 
S5,128663912866677,12866677, ,24580,0, , 
RE13,128664912866683,12866683, ,2327,0, , 
S40,128591912863479,12863479, ,25406,0, , 
S2,128550612860223,12860223, ,24240,0, , 
RE5,128620612860873,12860873, ,2570,0, , 
S9,128514112862825,12862825, ,24982,0, , 
S8,128515212862834,12862834, ,24883,0, , 
R1,128520212862875,12862875, ,10106,0, , 
R23,128600712863551,12863551, ,10221,0, , 
R2,128601512863558,12863558, ,22648,0, , 
R34,128602912863570,12863570, ,10457,0, , 
R38,128556112860269,12860269, ,10892,0, , 
R8,128522412862892,12862892, ,10836,0, , 
S5,128527912862933,12862933, ,24568,0, , 
S8,128604212863581,12863581, ,24870,0, , 
R31,128604412863583,12863583, ,10085,0, , 
S40,128611512863640,12863640, ,25458,0, , 
R6,128562312860327,12860327, ,10649,0, , 
S1,128533512862985,12862985, ,24124,0, , 
R35,128534012862989,12862989, ,10560,0, , 
R8,128617712863694,12863694, ,10840,0, , 
R37,128618712863702,12863702, ,10769,0, , 
R41,128535612863004,12863004, ,10974,0, , 
R25,128539812863039,12863039, ,11263,0, , 
S40,128542012863061,12863061, ,25478,0, , 
S7,128619912863712,12863712, ,24767,0, , 
S5,128622712863735,12863735, ,24581,0, , 
R36,128542612863066,12863066, ,10662,0, , 
S11,128547812863108,12863108, ,25079,0, , 
R18,128549212863116,12863116, ,10436,0, , 
S40,128632412863820,12863820, ,25410,0, , 
S11,128656312861192,12861192, ,25229,0, , 
R31,128657212861200,12861200, ,10022,0, , 
S11,128558712863190,12863190, ,25031,0, , 
R37,128634612863837,12863837, ,10754,0, , 
S40,128636412863856,12863856, ,25434,0, , 
R23,128638512863873,12863873, ,10230,0, , 
R34,128560812863209,12863209, ,10456,0, , 
S8,128641812863899,12863899, ,24875,0, , 
R1,128646112863933,12863933, ,10101,0, , 
RE10,128593412860627,12860627, ,25203,0, , 
R7,128668712861299,12861299, ,10744,0, , 
S5,128566712863262,12863262, ,24532,0, , 
R34,128647712863948,12863948, ,10476,0, , 
R5,128649412863980,12863980, ,10538,0, , 
S9,128652712864008,12864008, ,24978,0, , 
R36,128653112864011,12864011, ,10665,0, , 
S2,128677012861371,12861371, ,24250,0, , 
S2,128523712859979,12859979, ,24244,0, , 
R6,128537212860103,12860103, ,10647,0, , 
S11,128530812862959,12862959, ,25070,0, , 
S11,128687712864297,12864297, ,25071,0, , 
S9,128484212865546,12865546, ,934466,0, , 
S1,128524512865771,12865771, ,24045,0, , 
S9,128548212865921,12865921, ,24902,0, , 
R31,128597312866242,12866242, ,10064,0, , 
RE4,128622312866403,12866403, ,2403,0, , 
S1,128627312866429,12866429, ,24036,0, , 
RE8,128647212866563,12866563, ,2809,0, , 
R11,128674912866749,12866749, ,10191,0, , 
S7,128666912866698,12866698, ,24768,0, , 
RE6,128671112866726,12866726, ,2632,0, , 
R37,128671212866727,12866727, ,10782,0, , 
R1,128672612866736,12866736, ,10116,0, , 
R2,128675312866751,12866751, ,22647,0, , 
R2,128677612866763,12866763, ,22655,0, , 
R37,128677712866764,12866764, ,10758,0, , 
R38,128678712866771,12866771, ,10886,0, , 
RE8,128678912866772,12866772, ,2838,0, , 
R12,128681812866795,12866795, ,10296,0, , 
RE5,128683612866806,12866806, ,2557,0, , 
RE5,128684012866810,12866810, ,2573,0, , 
R14,128684212866812,12866812, ,25827,0, , 
R14,128684612866816,12866816, ,25859,0, , 
RE8,128685712866826,12866826, ,2841,0, , 
RE6,128690112866856,12866856, ,2627,0, , 
R6,128690612866860,12866860, ,10619,0, , 
R5,128690712866861,12866861, ,10518,0, , 
R5,128691012866863,12866863, ,10521,0, , 
R28,128398612870748,12870748, ,2962,0, , 
RE3,128434612862235,12862235, ,901917,0, , 
S50,128423912865156,12865156, ,928388,0, , 
S4,128424312865160,12865160, ,900747,0, , 
R3,128430312865198,12865198, ,910980,0, , 
R22,128418712865124,12865124, ,900041,0, , 
R17,128437912865254,12865254, ,900150,0, , 
XP2,128445812865309,12865309, ,910362,0, , 
S3,128460212865389,12865389, ,900832,0, , 
S4,128452412859407,12859407, ,902744,0, , 
S4,128464012859510,12859510, ,902712,0, , 
S50,128465812859527,12859527, ,928314,0, , 
R22,128466012859529,12859529, ,902030,0, , 
S4,128419712859102,12859102, ,902738,0, , 
S50,128694412866888,12866888, ,928342,0, , 
R22,128451812865342,12865342, ,900066,0, , 
R28,128463712865414,12865414, ,910384,0, , 
S2,128482712859684,12859684, ,932678,0, , 
RE2,128637612866498,12866498, ,2201,0, , 
S50,128407612865051,12865051, ,928358,0, , 
S4,128413912859053,12859053, ,902754,0, , 
R2,128642512866533,12866533, ,22605,0, , 
XP1,128431812865210,12865210, ,900333,0, , 
R17,128433912865224,12865224, ,900188,0, , 
S3,128474612865486,12865486, ,900814,0, , 
R22,128467512859543,12859543, ,912021,0, , 
XP1,128421112865136,12865136, ,900395,0, , 
R17,128429612865193,12865193, ,900131,0, , 
R17,128478512865514,12865514, ,900154,0, , 
R28,128695212866893,12866893, ,910326,0, , 
RE1,128692312861521,12861521, ,902024,0, , 
S3,128417912865119,12865119, ,900813,0, , 
R22,128408212858998,12858998, ,912063,0, , 
XP1,128422212865144,12865144, ,900368,0, , 
S2,128452612859408,12859408, ,932646,0, , 
R7,128533412865833,12865833, ,2698,0, , 
RE3,128408512865058,12865058, ,900934,0, , 
R3,128429212862191,12862191, ,901969,0, , 
R22,128446112859348,12859348, ,912079,0, , 
XP1,128440512865268,12865268, ,900348,0, , 
S3,128450612865332,12865332, ,900839,0, , 
S2,128455512859436,12859436, ,932624,0, , 
S50,128463812865415,12865415, ,928378,0, , 
XP1,128692612866873,12866873, ,900366,0, , 
S50,128409312865063,12865063, ,928362,0, , 
S4,128458512865382,12865382, ,900765,0, , 
S4,128475912865496,12865496, ,900715,0, , 
S4,128432712865218,12865218, ,900769,0, , 
R16,128459812862449,12862449, ,901673,0, , 
R27,128456312865369,12865369, ,900213,0, , 
S3,128468312865446,12865446, ,900885,0, , 
R16,128475312865491,12865491, ,900628,0, , 
XP1,128478112865511,12865511, ,900342,0, , 
S4,128479412865520,12865520, ,900771,0, , 
RE13,128678512866769,12866769, ,2349,0, , 
R16,128417012862100,12862100, ,901645,0, , 
S4,128420112859106,12859106, ,902758,0, , 
R3,128420812859113,12859113, ,902974,0, , 
R4,128651912861153,12861153, ,10901,0, , 
XP1,128423212865151,12865151, ,900357,0, , 
R17,128430712865202,12865202, ,900114,0, , 
S4,128465112865426,12865426, ,900777,0, , 
S3,128467312865441,12865441, ,900869,0, , 
XP1,128450912865335,12865335, ,900318,0, , 
R16,128469412865455,12865455, ,900612,0, , 
R28,128409012865061,12865061, ,910324,0, , 
R27,128444612865299,12865299, ,900223,0, , 
RE3,128452112865345,12865345, ,900922,0, , 
R27,128487412865581,12865581, ,900246,0, , 
S3,128487512865582,12865582, ,900895,0, , 
S3,128411212865077,12865077, ,900818,0, , 
R22,128422112865143,12865143, ,910065,0, , 
S3,128424012865157,12865157, ,900851,0, , 
S3,128444112865295,12865295, ,900844,0, , 
R3,128469812865456,12865456, ,910915,0, , 
R3,128410612862052,12862052, ,901910,0, , 
