route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
S3,178399014381122,14381122, ,900865,0, , 
R22,178230414379764,14379764, ,912057,0, , 
RE3,178341414380657,14380657, ,900948,0, , 
RE1,178364314380837,14380837, ,902065,0, , 
S1,178356114380762,14380762, ,911812,0, , 
R22,178196314387486,14387486, ,900044,0, , 
S50,178363714388468,14388468, ,928334,0, , 
S4,178404114388704,14388704, ,904768,0, , 
R28,178279114385648,14385648, ,910314,0, , 
S50,178366214371566,14371566, ,928378,0, , 
S50,178380114371696,14371696, ,25592,0, , 
R17,178404314371877,14371877, ,900176,0, , 
R17,178467014372413,14372413, ,901111,0, , 
S9,178279614370867,14370867, ,930436,0, , 
S9,178279714370868,14370868, ,931462,0, , 
S9,178509614376379,14376379, ,931473,0, , 
XP1,178188114373766,14373766, ,900389,0, , 
R3,178188614373771,14373771, ,912919,0, , 
S2,178188714373772,14373772, ,922672,0, , 
R3,178426114375704,14375704, ,919901,0, , 
XP1,178405614375522,14375522, ,900313,0, , 
R22,178193114376699,14376699, ,901011,0, , 
S1,178443714378724,14378724, ,910843,0, , 
XP1,178278914377391,14377391, ,900372,0, , 
R3,178321114377726,14377726, ,910988,0, , 
S4,178355714377998,14377998, ,900793,0, , 
R17,178339514377880,14377880, ,901144,0, , 
S1,178467114378937,14378937, ,911826,0, , 
R22,178400214378373,14378373, ,911054,0, , 
R17,178318414383252,14383252, ,901177,0, , 
R17,178319314380469,14380469, ,902121,0, , 
R17,178450414386900,14386900, ,900141,0, , 
XP1,178366614386302,14386302, ,900312,0, , 
S9,178366914371574,14371574, ,930456,0, , 
S9,178190914373789,14373789, ,931472,0, , 
R17,178484314376159,14376159, ,900169,0, , 
S1,178362414380818,14380818, ,910863,0, , 
R17,178361214388450,14388450, ,900173,0, , 
RE2,178381614378231,14378231, ,2212,0, , 
R6,178246214385413,14385413, ,10629,0, , 
R17,178191514370153,14370153, ,900110,0, , 
XP1,178365014371555,14371555, ,900351,0, , 
R22,178400214371845,14371845, ,911054,0, , 
S2,178406914371897,14371897, ,922661,0, , 
S4,178449514372250,14372250, ,902738,0, , 
S2,178489014372563,14372563, ,922633,0, , 
S4,178491414372583,14372583, ,900747,0, , 
S3,178279414370865,14370865, ,900895,0, , 
R16,178450514375896,14375896, ,900685,0, , 
S4,178238314382621,14382621, ,900786,0, , 
S9,178276214385625,14385625, ,931421,0, , 
RE2,178381614380991,14380991, ,2212,0, , 
R27,178319514385946,14385946, ,901244,0, , 
R3,178483614387122,14387122, ,900957,0, , 
S2,178446714372226,14372226, ,922677,0, , 
RE6,178495414387204,14387204, ,2601,0, , 
S9,178406614386575,14386575, ,930428,0, , 
S4,178484214384600,14384600, ,900737,0, , 
R27,178487514384630,14384630, ,901236,0, , 
XP2,178365114371556,14371556, ,910362,0, , 
S3,178237514374172,14374172, ,900817,0, , 
S9,178272814374450,14374450, ,931468,0, , 
R28,178490314376212,14376212, ,910366,0, , 
R3,178407414378430,14378430, ,901928,0, , 
R22,178273814377351,14377351, ,901054,0, , 
S4,178398314378355,14378355, ,900789,0, , 
R3,178445814381505,14381505, ,910986,0, , 
S4,178238314379831,14379831, ,900786,0, , 
S3,178363314380827,14380827, ,900813,0, , 
S1,178192814387462,14387462, ,910865,0, , 
S1,178196114387485,14387485, ,910887,0, , 
R28,178277114385631,14385631, ,910387,0, , 
R22,178273814382902,14382902, ,901054,0, , 
R27,178400514383926,14383926, ,902269,0, , 
R22,178316214385922,14385922, ,901039,0, , 
S4,178318314383251,14383251, ,900757,0, , 
RE3,178214314385193,14385193, ,900971,0, , 
XP1,178277814387950,14387950, ,900326,0, , 
S9,178278214387954,14387954, ,930486,0, , 
S1,178407714381193,14381193, ,911829,0, , 
S3,178315514385916,14385916, ,900823,0, , 
XP2,178316314385923,14385923, ,910334,0, , 
R27,178489814387163,14387163, ,901223,0, , 
R16,178319714374822,14374822, ,900636,0, , 
S4,178316614374792,14374792, ,902712,0, , 
S2,178316814374794,14374794, ,922632,0, , 
R17,178490814379110,14379110, ,901174,0, , 
S9,178253714377202,14377202, ,931438,0, , 
S4,178232914377025,14377025, ,900719,0, , 
S4,178423714381338,14381338, ,900777,0, , 
S4,178398514378362,14378362, ,902772,0, , 
R17,178233514379789,14379789, ,900129,0, , 
R17,178187814379415,14379415, ,900187,0, , 
R28,178211814379622,14379622, ,910380,0, , 
R3,178365714380850,14380850, ,911914,0, , 
XP1,178191214387452,14387452, ,900365,0, , 
S4,178320714388199,14388199, ,900735,0, , 
S4,178399614388681,14388681, ,904720,0, , 
RE3,178172914384886,14384886, ,900963,0, , 
R17,178234014382583,14382583, ,900184,0, , 
R28,178445014386862,14386862, ,910326,0, , 
XP2,178195414382267,14382267, ,910338,0, , 
R16,178356214386229,14386229, ,900647,0, , 
XP1,178192414370161,14370161, ,900344,0, , 
R16,178231114370481,14370481, ,900631,0, , 
R17,178232414370491,14370491, ,900188,0, , 
XP2,178236414370523,14370523, ,910337,0, , 
R28,178273614374458,14374458, ,910327,0, , 
R22,178404514375516,14375516, ,900084,0, , 
R16,178317614374802,14374802, ,900637,0, , 
XP2,178485914379063,14379063, ,910354,0, , 
S50,178487414379077,14379077, ,928318,0, , 
S9,178190914376680,14376680, ,931472,0, , 
XP1,178271214377326,14377326, ,900335,0, , 
R17,178310214377632,14377632, ,900191,0, , 
R28,178316414377681,14377681, ,910349,0, , 
S2,178484714381812,14381812, ,922627,0, , 
S3,178399814381129,14381129, ,900888,0, , 
R22,178233714379791,14379791, ,910017,0, , 
R17,178191514387454,14387454, ,900110,0, , 
R17,178315914388172,14388172, ,900131,0, , 
S1,178317214388178,14388178, ,910868,0, , 
RE3,178341414388344,14388344, ,900948,0, , 
S3,178358314388431,14388431, ,900859,0, , 
S50,178366214388485,14388485, ,928378,0, , 
R28,178446614388945,14388945, ,910335,0, , 
S3,178236814382606,14382606, ,900836,0, , 
XP1,178397914386515,14386515, ,900325,0, , 
XP2,178232714387675,14387675, ,910330,0, , 
S1,178187714384979,14384979, ,910880,0, , 
R3,178314014385902,14385902, ,910909,0, , 
S1,178317214385930,14385930, ,910868,0, , 
R28,178320914385960,14385960, ,910344,0, , 
S9,178197114382282,14382282, ,931466,0, , 
S3,178359214386245,14386245, ,900849,0, , 
R22,178405214386565,14386565, ,910090,0, , 
S1,178446014372219,14372219, ,911822,0, , 
R22,178358614375132,14375132, ,912063,0, , 
R17,178339514374989,14374989, ,901144,0, , 
R16,178192014376688,14376688, ,901646,0, , 
R22,178315314377672,14377672, ,911081,0, , 
S2,178446714375863,14375863, ,922677,0, , 
R17,178314114374770,14374770, ,900140,0, , 
S4,178491314379107,14379107, ,902744,0, , 
S50,178487414376187,14376187, ,928318,0, , 
S3,178195614376720,14376720, ,900837,0, , 
XP1,178270714377322,14377322, ,900357,0, , 
S2,178188714379423,14379423, ,922672,0, , 
R28,178362514380819,14380819, ,910336,0, , 
S3,178295914380306,14380306, ,900866,0, , 
S4,178234714385323,14385323, ,900771,0, , 
R22,178231014382559,14382559, ,901048,0, , 
R28,178489714384648,14384648, ,910339,0, , 
S1,178275014385616,14385616, ,911831,0, , 
R22,178399514386527,14386527, ,911078,0, , 
S1,178277614385635,14385635, ,911817,0, , 
R27,178273014382894,14382894, ,901240,0, , 
XP1,178277814382933,14382933, ,900326,0, , 
S4,178320714377722,14377722, ,900735,0, , 
S3,178322414377734,14377734, ,900831,0, , 
S3,178360914378046,14378046, ,900883,0, , 
R27,178444614381493,14381493, ,901280,0, , 
S4,178316614377683,14377683, ,902712,0, , 
R35,178176114379331,14379331, ,10565,0, , 
R27,178400514381135,14381135, ,902269,0, , 
S50,178272214380096,14380096, ,928362,0, , 
R16,178366414380857,14380857, ,900678,0, , 
S9,178280014382951,14382951, ,931433,0, , 
S1,178275614385621,14385621, ,911818,0, , 
S9,178236914382607,14382607, ,930440,0, , 
R17,178195114385037,14385037, ,900150,0, , 
R27,178442014386839,14386839, ,901273,0, , 
XP1,178397914381111,14381111, ,900325,0, , 
S4,178398514381118,14381118, ,902772,0, , 
R22,178357814380776,14380776, ,912062,0, , 
S1,178278614385643,14385643, ,911841,0, , 
R27,178466614387031,14387031, ,901245,0, , 
R22,178448314378766,14378766, ,912074,0, , 
XP1,178190614370146,14370146, ,900383,0, , 
XP2,178195414370187,14370187, ,910338,0, , 
S1,178275014370828,14370828, ,911831,0, , 
S4,178398714371831,14371831, ,900711,0, , 
S9,178407614371904,14371904, ,931449,0, , 
R28,178235914370519,14370519, ,910331,0, , 
XP1,178448614372241,14372241, ,900377,0, , 
S2,178486414372539,14372539, ,922663,0, , 
S4,178318314371171,14371171, ,900757,0, , 
S1,178315614371145,14371145, ,910849,0, , 
R28,178279114370866,14370866, ,910314,0, , 
S3,178191714373795,14373795, ,900821,0, , 
R16,178356214375112,14375112, ,900647,0, , 
R28,178275314374469,14374469, ,910348,0, , 
S3,178322314374842,14374842, ,900858,0, , 
R16,178404614388709,14388709, ,900663,0, , 
S2,178492014384668,14384668, ,922643,0, , 
R22,178315314383223,14383223, ,911081,0, , 
R22,178190214385000,14385000, ,910032,0, , 
S1,178190814385004,14385004, ,911825,0, , 
S2,178355814383549,14383549, ,922644,0, , 
S2,178406514383972,14383972, ,922654,0, , 
RE1,178358014383568,14383568, ,900047,0, , 
R16,178492414384670,14384670, ,901613,0, , 
S4,178313214383203,14383203, ,902770,0, , 
S4,178189514384993,14384993, ,904774,0, , 
S9,178400814386537,14386537, ,931479,0, , 
R16,178231114385295,14385295, ,900631,0, , 
R17,178188214373767,14373767, ,900168,0, , 
S3,178365914375201,14375201, ,900882,0, , 
R16,178485714379061,14379061, ,902683,0, , 
S3,178397514383899,14383899, ,900833,0, , 
R6,178285014385697,14385697, ,10639,0, , 
S2,178253614379961,14379961, ,922628,0, , 
RE2,178381614383781,14383781, ,2212,0, , 
R6,178422314388823,14388823, ,10612,0, , 
S4,178236114387702,14387702, ,904752,0, , 
S3,178401814371856,14371856, ,900885,0, , 
RE1,178405714371888,14371888, ,900020,0, , 
R3,178407414371902,14371902, ,901928,0, , 
S13,178498614387236,14387236, ,24392,0, , 
S9,178361514386263,14386263, ,931431,0, , 
S2,178489014384643,14384643, ,922633,0, , 
S3,178364814386288,14386288, ,900806,0, , 
RE3,178214414370354,14370354, ,900960,0, , 
S2,178466814376045,14376045, ,922682,0, , 
S4,178398314383906,14383906, ,900789,0, , 
S4,178357614383564,14383564, ,900729,0, , 
RE7,178359714383584,14383584, ,902116,0, , 
R17,178398014381112,14381112, ,900136,0, , 
XP2,178315114385911,14385911, ,910346,0, , 
S3,178484614387129,14387129, ,900812,0, , 
R22,178188814382213,14382213, ,900035,0, , 
R27,178483314384592,14384592, ,901226,0, , 
S3,178236714385340,14385340, ,900868,0, , 
