Names;Indegree centrality;Outdegree centrality;Betweeness;Closeness;Pagerank
BRESCIA;9;10;0,4262;0,1574;0,0063
CALOLZIOCORTE OLGINATE;7;8;0,0617;0,1569;0,0046
CODOGNO;7;8;0,2955;0,1453;0,0051
COLICO;7;7;0,2457;0,1028;0,0056
GALLARATE;8;9;0,3743;0,1615;0,0052
LECCO;8;8;0,5072;0,1594;0,0054
MILANO BOVISA FNM;7;7;0,4431;0,1654;0,0053
MILANO CENTRALE;6;7;0,6256;0,1961;0,0041
MILANO GRECO PIRELLI;7;5;0,213;0,1829;0,0041
MILANO LAMBRATE;11;9;1;0,1919;0,0073
MILANO PORTA GARIBALDI;9;6;0,4759;0,185;0,0052
MILANO ROGOREDO;8;7;0,7864;0,1874;0,0062
MILANO VILLAPIZZONE;4;6;0,0576;0,1801;0,0031
MONZA;10;10;0,77;0,1791;0,0055
MORTARA;7;6;0,077;0,0964;0,0062
PAVIA;8;8;0,3993;0,1637;0,0068
RHO FIERA;10;7;0,4435;0,1818;0,0053
SARONNO;10;10;0,3794;0,1489;0,0074
SESTO S.GIOVANNI;4;4;0,0536;0,1789;0,0025
TREVIGLIO;10;8;0,5528;0,1764;0,0076
VERBANIA-PALLANZA;4;3;0,0582;0,1;0,0054
