Names;Indegree centrality;Outdegree centrality;Betweeness;Closeness;Pagerank
BRESCIA;119,4286;121,5714;0,5923;0,0148;0,0054
CARNATE USMATE;110,4286;111,7143;0,317;0,0162;0,003
CESANO MADERNO;336;336;0,1045;0,0057;0,0051
GALLARATE;192,5714;191,8571;0,3584;0,016;0,0061
LECCO;114,5714;109,4286;0,5082;0,0146;0,0047
LISSONE-MUGGIO';139,7143;139,7143;0,1096;0,0162;0,0024
MILANO BOVISA FNM;738,7143;733,8571;0,0942;0,0106;0,0071
MILANO CENTRALE;140,7143;141,7143;0,782;0,0164;0,0022
MILANO CERTOSA;180,2857;175,2857;0,0218;0,0162;0,0025
MILANO DATEO;347;348;0,0105;0,0033;0,0037
MILANO DOMODOSSOLA;348,2857;348,2857;0;0,0037;0,0032
MILANO GRECO PIRELLI;332,2857;329,2857;0,6636;0,0164;0,0043
MILANO LAMBRATE;317,7143;314,7143;1;0,0163;0,0049
MILANO LANCETTI;346;347;0,0209;0,0076;0,0032
MILANO PORTA GARIBALDI SOTTERRANEA;347;347;0,0105;0,0033;0,003
MILANO PORTA VENEZIA;347;347;0,0001;0,0021;0,0032
MILANO PORTA VITTORIA;348;347;0,0209;0,0075;0,0047
MILANO REPUBBLICA;347;347;0,0001;0,0021;0,003
MILANO ROGOREDO;287,2857;286,2857;0,5905;0,0163;0,0059
MILANO VILLAPIZZONE;204,8571;203,8571;0,7335;0,0163;0,0025
MONZA;352,7143;352,7143;0,5486;0,0162;0,0059
PAVIA;125,5714;122,5714;0,3583;0,0123;0,0062
RHO FIERA;247;248;0,6854;0,0161;0,004
SARONNO;527;532,4286;0,3174;0,0079;0,0066
SESTO S.GIOVANNI;286,4286;284,4286;0,4056;0,0164;0,004
TREVIGLIO;165;165,4286;0,6816;0,015;0,0045
VERBANIA-PALLANZA;18,2857;18,2857;0,0575;0,0123;0,0062
