,0,1,2,3,4,5
0,2022,values,2021,val1ues,2019,values
1,MILANO LAMBRATE,4.9977,MILANO LAMBRATE,5.0046,MILANO LAMBRATE,4.9907
2,MONZA,4.965,MONZA,4.9769,MONZA,4.9674
3,TREVIGLIO,4.9533,TREVIGLIO,4.9676,TREVIGLIO,4.9534
4,MILANO ROGOREDO,4.9393,LECCO,4.9259,MILANO BOVISA FNM,4.9371
5,RHO FIERA,4.9206,MILANO ROGOREDO,4.9236,LECCO,4.9207
6,PAVIA,4.9112,PAVIA,4.9144,MILANO PORTA GARIBALDI,4.9138
7,BRESCIA,4.8925,RHO FIERA,4.9074,RHO FIERA,4.9138
8,MILANO PORTA GARIBALDI,4.8902,GALLARATE,4.8866,MILANO ROGOREDO,4.9021
9,LECCO,4.8715,MILANO BOVISA FNM,4.8773,SARONNO,4.8904
10,GALLARATE,4.8715,SARONNO,4.8727,PAVIA,4.8765
