,0,1,2,3,4,5
0,2022,values,2021,val1ues,2019,values
1,MONZA,4.9439,MONZA,4.9491,MILANO ROGOREDO,4.9138
2,MILANO LAMBRATE,4.9136,MILANO ROGOREDO,4.912,MONZA,4.8904
3,MILANO ROGOREDO,4.8925,MILANO LAMBRATE,4.9074,SESTO S.GIOVANNI,4.8788
4,MILANO GRECO PIRELLI,4.8738,MILANO GRECO PIRELLI,4.9005,MILANO LAMBRATE,4.8485
5,SESTO S.GIOVANNI,4.8224,GALLARATE,4.8588,MILANO GRECO PIRELLI,4.8368
6,RHO FIERA,4.8178,RHO FIERA,4.8449,RHO FIERA,4.8205
7,GALLARATE,4.8037,BUSTO ARSIZIO,4.831,GALLARATE,4.8089
8,BUSTO ARSIZIO,4.7196,TREVIGLIO,4.7222,MILANO BOVISA FNM,4.7972
9,SEREGNO,4.7079,LECCO,4.7037,MILANO PORTA GARIBALDI,4.7762
10,MILANO FORLANINI,4.6939,MILANO PORTA GARIBALDI,4.7014,BUSTO ARSIZIO,4.7739
